DEP_TIME,CARRIER,DEST,ORIGIN,Weather,DAY_WEEK,Flight Status
600,MQ,JFK,DCA,0,4,0
600,MQ,JFK,DCA,0,5,0
600,MQ,JFK,DCA,0,6,0
600,MQ,JFK,DCA,0,7,0
600,MQ,JFK,DCA,0,1,0
600,MQ,JFK,DCA,0,2,0
600,MQ,JFK,DCA,0,3,0
600,MQ,JFK,DCA,0,4,0
600,MQ,JFK,DCA,0,5,0
600,MQ,JFK,DCA,0,6,1
600,MQ,JFK,DCA,0,7,0
600,MQ,JFK,DCA,0,1,0
600,MQ,JFK,DCA,0,2,0
600,MQ,JFK,DCA,0,3,0
600,MQ,JFK,DCA,0,4,0
600,MQ,JFK,DCA,0,5,0
600,MQ,JFK,DCA,0,6,0
600,MQ,JFK,DCA,0,7,1
600,MQ,JFK,DCA,0,1,0
600,MQ,JFK,DCA,0,2,0
600,MQ,JFK,DCA,0,3,0
600,MQ,JFK,DCA,0,4,0
600,MQ,JFK,DCA,0,5,0
600,MQ,JFK,DCA,0,6,0
600,MQ,JFK,DCA,0,4,0
600,MQ,JFK,DCA,0,6,0
630,DH,EWR,IAD,0,5,0
630,DH,EWR,IAD,0,6,0
630,DL,LGA,DCA,0,1,0
630,US,LGA,DCA,0,1,1
630,DH,EWR,IAD,0,1,0
630,DL,LGA,DCA,0,2,0
630,US,LGA,DCA,0,2,0
630,DH,EWR,IAD,0,2,0
630,DL,LGA,DCA,0,3,0
630,US,LGA,DCA,0,3,0
630,DH,EWR,IAD,0,3,0
630,DL,LGA,DCA,0,4,0
630,US,LGA,DCA,0,4,0
630,DH,EWR,IAD,0,4,0
630,DL,LGA,DCA,0,5,0
630,US,LGA,DCA,0,5,0
630,DH,EWR,IAD,0,5,0
630,DL,LGA,DCA,0,1,0
630,US,LGA,DCA,0,1,0
630,DH,EWR,IAD,0,1,0
630,DL,LGA,DCA,0,2,0
630,US,LGA,DCA,0,2,0
630,DH,EWR,IAD,0,2,0
630,DL,LGA,DCA,0,3,0
630,US,LGA,DCA,0,3,0
630,DH,EWR,IAD,0,3,0
630,DL,LGA,DCA,0,4,0
630,US,LGA,DCA,0,4,1
630,DH,EWR,IAD,0,4,0
630,DL,LGA,DCA,0,5,0
630,US,LGA,DCA,0,5,0
630,DH,EWR,IAD,0,5,1
630,US,LGA,DCA,0,1,0
630,DH,EWR,IAD,0,1,0
630,DL,LGA,DCA,0,2,0
630,US,LGA,DCA,0,2,0
630,DH,EWR,IAD,0,2,0
630,DL,LGA,DCA,0,3,0
630,US,LGA,DCA,0,3,0
630,DH,EWR,IAD,0,3,0
630,DL,LGA,DCA,0,4,0
630,US,LGA,DCA,0,4,0
630,DH,EWR,IAD,0,4,0
630,DL,LGA,DCA,0,5,0
630,US,LGA,DCA,0,5,0
630,DH,EWR,IAD,0,5,0
630,US,LGA,DCA,0,1,1
630,DH,EWR,IAD,0,1,0
630,US,LGA,DCA,0,2,0
630,US,LGA,DCA,0,3,0
630,DH,EWR,IAD,0,3,0
630,DL,LGA,DCA,0,4,0
630,US,LGA,DCA,0,4,0
630,DH,EWR,IAD,0,4,0
630,DL,LGA,DCA,0,5,0
630,US,LGA,DCA,0,5,0
630,DH,EWR,IAD,0,5,0
640,DH,LGA,IAD,0,5,0
640,DH,LGA,IAD,0,6,0
640,DH,LGA,IAD,0,7,0
640,DH,LGA,IAD,0,1,1
640,DH,LGA,IAD,0,2,0
640,DH,LGA,IAD,0,3,0
640,DH,LGA,IAD,0,4,0
640,DH,LGA,IAD,0,5,1
640,DH,LGA,IAD,0,1,1
640,DH,LGA,IAD,0,2,1
640,DH,LGA,IAD,0,3,0
640,DH,LGA,IAD,0,5,0
640,DH,LGA,IAD,0,1,1
640,DH,LGA,IAD,0,2,0
640,DH,LGA,IAD,0,3,1
640,DH,LGA,IAD,0,4,0
640,DH,LGA,IAD,0,5,0
640,DH,LGA,IAD,0,1,1
640,DH,LGA,IAD,1,2,1
640,DH,LGA,IAD,0,3,0
640,DH,LGA,IAD,0,4,1
640,DH,LGA,IAD,0,5,0
645,RU,EWR,DCA,0,2,0
645,RU,EWR,DCA,0,3,0
645,RU,EWR,DCA,0,4,1
645,RU,EWR,DCA,0,5,0
645,RU,EWR,DCA,0,6,0
645,RU,EWR,DCA,0,1,0
645,RU,EWR,DCA,0,2,0
645,RU,EWR,DCA,0,3,0
645,RU,EWR,DCA,0,4,0
645,RU,EWR,DCA,0,5,0
645,RU,EWR,DCA,0,6,0
645,RU,EWR,DCA,0,1,0
645,RU,EWR,DCA,0,2,0
645,RU,EWR,DCA,0,3,0
645,RU,EWR,DCA,0,4,0
645,RU,EWR,DCA,0,5,0
645,RU,EWR,DCA,0,6,0
645,RU,EWR,DCA,0,2,0
645,RU,EWR,DCA,0,4,0
645,RU,EWR,DCA,0,5,0
645,RU,EWR,DCA,0,6,0
700,RU,EWR,BWI,0,4,0
700,US,LGA,DCA,0,5,0
700,RU,EWR,BWI,0,5,0
700,RU,EWR,IAD,0,5,0
700,RU,EWR,DCA,0,5,0
700,US,LGA,DCA,0,6,0
700,RU,EWR,BWI,0,6,0
700,RU,EWR,IAD,0,6,0
700,RU,EWR,DCA,0,6,0
700,MQ,LGA,DCA,0,1,0
700,US,LGA,DCA,0,1,0
700,RU,EWR,BWI,0,1,1
700,RU,EWR,DCA,0,1,0
700,RU,EWR,IAD,0,1,0
700,MQ,LGA,DCA,0,2,0
700,US,LGA,DCA,0,2,0
700,RU,EWR,BWI,0,2,0
700,RU,EWR,IAD,0,2,0
700,MQ,LGA,DCA,0,3,0
700,US,LGA,DCA,0,3,0
700,RU,EWR,BWI,0,3,0
700,RU,EWR,IAD,0,3,1
700,MQ,LGA,DCA,0,4,0
700,US,LGA,DCA,0,4,0
700,RU,EWR,BWI,0,4,0
700,RU,EWR,IAD,0,4,0
700,US,LGA,DCA,0,5,0
700,RU,EWR,BWI,0,5,0
700,RU,EWR,IAD,0,5,1
700,US,LGA,DCA,0,6,0
700,RU,EWR,BWI,0,6,0
700,RU,EWR,IAD,0,6,0
700,MQ,LGA,DCA,0,1,1
700,US,LGA,DCA,0,1,1
700,RU,EWR,BWI,0,1,0
700,RU,EWR,IAD,0,1,0
700,MQ,LGA,DCA,0,2,0
700,US,LGA,DCA,0,2,0
700,RU,EWR,BWI,0,2,0
700,RU,EWR,IAD,0,2,0
700,MQ,LGA,DCA,0,3,1
700,US,LGA,DCA,0,3,0
700,RU,EWR,BWI,0,3,0
700,RU,EWR,IAD,0,3,0
700,RU,EWR,IAD,0,4,1
700,US,LGA,DCA,0,5,0
700,RU,EWR,BWI,0,5,0
700,RU,EWR,IAD,0,5,0
700,US,LGA,DCA,0,6,0
700,RU,EWR,BWI,0,6,0
700,RU,EWR,IAD,0,6,0
700,MQ,LGA,DCA,0,1,1
700,US,LGA,DCA,0,1,0
700,RU,EWR,BWI,0,1,0
700,RU,EWR,IAD,0,1,0
700,MQ,LGA,DCA,0,2,0
700,US,LGA,DCA,0,2,0
700,RU,EWR,BWI,0,2,0
700,RU,EWR,IAD,0,2,1
700,MQ,LGA,DCA,0,3,0
700,US,LGA,DCA,0,3,0
700,RU,EWR,BWI,0,3,0
700,RU,EWR,IAD,0,3,0
700,MQ,LGA,DCA,0,4,0
700,US,LGA,DCA,0,4,0
700,RU,EWR,BWI,0,4,0
700,RU,EWR,IAD,0,4,0
700,MQ,LGA,DCA,0,5,0
700,US,LGA,DCA,0,5,0
700,RU,EWR,BWI,0,5,0
700,RU,EWR,IAD,0,5,0
700,US,LGA,DCA,0,6,0
700,RU,EWR,BWI,0,6,1
700,RU,EWR,IAD,0,6,1
700,US,LGA,DCA,0,1,1
700,MQ,LGA,DCA,0,2,1
700,US,LGA,DCA,0,2,0
700,RU,EWR,BWI,0,2,1
700,RU,EWR,IAD,1,2,1
700,US,LGA,DCA,0,3,0
700,RU,EWR,IAD,0,3,0
700,MQ,LGA,DCA,0,4,1
700,US,LGA,DCA,0,4,1
700,RU,EWR,BWI,0,4,0
700,RU,EWR,IAD,0,4,0
700,MQ,LGA,DCA,0,5,0
700,US,LGA,DCA,0,5,0
700,RU,EWR,BWI,0,5,0
700,RU,EWR,IAD,0,5,1
700,US,LGA,DCA,0,6,0
700,RU,EWR,BWI,0,6,0
700,RU,EWR,IAD,0,6,0
730,MQ,JFK,DCA,0,7,0
730,DL,LGA,DCA,0,1,0
730,DL,LGA,DCA,0,2,0
730,DL,LGA,DCA,0,4,0
730,DL,LGA,DCA,0,5,1
730,DL,LGA,DCA,0,6,0
730,DL,LGA,DCA,0,1,0
730,DL,LGA,DCA,0,2,0
730,DL,LGA,DCA,0,3,0
730,DL,LGA,DCA,0,4,1
730,DL,LGA,DCA,0,5,0
730,DL,LGA,DCA,0,6,0
730,DL,LGA,DCA,0,1,0
730,DL,LGA,DCA,0,2,0
730,DL,LGA,DCA,0,3,0
730,DL,LGA,DCA,0,4,0
730,DL,LGA,DCA,0,5,0
730,DL,LGA,DCA,0,6,0
730,DL,LGA,DCA,1,1,1
730,DL,LGA,DCA,0,2,0
730,DL,LGA,DCA,0,3,0
730,DL,LGA,DCA,0,4,0
730,DL,LGA,DCA,0,5,0
730,DL,LGA,DCA,0,6,0
735,CO,EWR,DCA,0,2,0
735,CO,EWR,DCA,0,3,0
735,CO,EWR,DCA,0,4,0
735,CO,EWR,DCA,0,5,0
735,CO,EWR,DCA,0,1,0
735,CO,EWR,DCA,0,2,0
735,CO,EWR,DCA,0,3,0
735,CO,EWR,DCA,0,4,1
735,CO,EWR,DCA,0,5,0
735,CO,EWR,DCA,0,1,0
735,CO,EWR,DCA,0,2,0
735,CO,EWR,DCA,0,3,0
735,CO,EWR,DCA,0,4,0
735,CO,EWR,DCA,0,5,0
735,CO,EWR,DCA,1,1,1
735,CO,EWR,DCA,0,4,0
735,CO,EWR,DCA,0,5,0
759,CO,EWR,DCA,0,5,0
759,CO,EWR,DCA,0,1,0
800,MQ,LGA,DCA,0,1,0
800,US,LGA,DCA,0,1,0
800,MQ,LGA,DCA,0,2,0
800,US,LGA,DCA,0,2,0
800,MQ,LGA,DCA,0,3,0
800,US,LGA,DCA,0,3,0
800,MQ,LGA,DCA,0,4,0
800,US,LGA,DCA,0,4,0
800,MQ,LGA,DCA,0,5,1
800,US,LGA,DCA,0,5,0
800,MQ,LGA,DCA,0,1,0
800,US,LGA,DCA,0,1,0
800,MQ,LGA,DCA,0,2,0
800,US,LGA,DCA,0,2,0
800,MQ,LGA,DCA,0,3,0
800,US,LGA,DCA,0,3,0
800,MQ,LGA,DCA,0,4,1
800,US,LGA,DCA,0,4,0
800,MQ,LGA,DCA,0,5,1
800,US,LGA,DCA,0,5,0
800,MQ,LGA,DCA,0,1,1
800,US,LGA,DCA,0,1,0
800,MQ,LGA,DCA,0,2,0
800,US,LGA,DCA,0,2,0
800,MQ,LGA,DCA,0,3,0
800,US,LGA,DCA,0,3,0
800,MQ,LGA,DCA,0,4,0
800,US,LGA,DCA,0,4,0
800,MQ,LGA,DCA,0,5,0
800,US,LGA,DCA,0,5,0
800,MQ,LGA,DCA,1,1,1
800,US,LGA,DCA,0,1,0
800,MQ,LGA,DCA,0,2,0
800,US,LGA,DCA,0,2,0
800,MQ,LGA,DCA,0,3,1
800,US,LGA,DCA,0,3,1
800,MQ,LGA,DCA,0,4,0
800,US,LGA,DCA,0,4,0
800,MQ,LGA,DCA,1,5,1
800,US,LGA,DCA,0,5,0
830,DL,LGA,DCA,0,6,0
830,DL,LGA,DCA,0,7,0
830,DL,LGA,DCA,0,1,0
830,DL,LGA,DCA,0,2,0
830,DL,LGA,DCA,0,3,0
830,DL,LGA,DCA,0,4,0
830,DL,LGA,DCA,0,5,0
830,DL,LGA,DCA,0,6,0
830,DL,LGA,DCA,0,7,0
830,DL,LGA,DCA,0,1,0
830,DL,LGA,DCA,0,2,0
830,DL,LGA,DCA,0,3,0
830,DL,LGA,DCA,0,5,1
830,DL,LGA,DCA,0,6,0
830,DL,LGA,DCA,0,7,0
830,DL,LGA,DCA,0,1,0
830,DL,LGA,DCA,0,2,0
830,DL,LGA,DCA,0,3,0
830,DL,LGA,DCA,0,4,0
830,DL,LGA,DCA,0,5,0
830,DL,LGA,DCA,0,6,0
830,DL,LGA,DCA,0,7,0
830,DL,LGA,DCA,0,2,1
830,DL,LGA,DCA,0,4,1
830,DL,LGA,DCA,0,5,0
830,DL,LGA,DCA,0,6,1
840,DH,JFK,IAD,0,4,0
840,DH,EWR,IAD,0,4,0
840,DH,JFK,IAD,0,5,0
840,DH,EWR,IAD,0,5,0
840,DH,JFK,IAD,0,6,0
840,DH,EWR,IAD,0,6,1
840,DH,JFK,IAD,0,7,0
840,DH,EWR,IAD,0,7,0
840,DH,JFK,IAD,0,1,1
840,DH,EWR,IAD,0,1,0
840,DH,JFK,IAD,0,2,0
840,DH,EWR,IAD,0,2,0
840,DH,JFK,IAD,0,3,0
840,DH,EWR,IAD,0,3,0
840,DH,JFK,IAD,0,4,0
840,DH,EWR,IAD,0,4,0
840,DH,JFK,IAD,0,5,1
840,DH,EWR,IAD,0,5,0
840,DH,JFK,IAD,0,6,1
840,DH,EWR,IAD,0,6,0
840,DH,JFK,IAD,0,7,0
840,DH,EWR,IAD,0,7,0
840,DH,JFK,IAD,0,1,0
840,DH,EWR,IAD,0,1,0
840,DH,JFK,IAD,0,2,0
840,DH,EWR,IAD,0,2,0
840,DH,JFK,IAD,0,3,0
840,DH,EWR,IAD,0,3,0
840,DH,JFK,IAD,0,4,0
840,DH,EWR,IAD,0,4,0
840,DH,JFK,IAD,0,5,0
840,DH,EWR,IAD,0,5,0
840,DH,JFK,IAD,0,6,0
840,DH,EWR,IAD,0,6,0
840,DH,JFK,IAD,0,7,0
840,DH,EWR,IAD,0,7,0
840,DH,JFK,IAD,0,1,0
840,DH,EWR,IAD,0,1,0
840,DH,JFK,IAD,0,2,0
840,DH,EWR,IAD,0,2,0
840,DH,JFK,IAD,0,3,0
840,DH,EWR,IAD,0,3,0
840,DH,JFK,IAD,0,4,0
840,DH,EWR,IAD,0,4,0
840,DH,JFK,IAD,0,5,0
840,DH,EWR,IAD,0,5,0
840,DH,JFK,IAD,0,6,0
840,DH,EWR,IAD,0,6,0
840,DH,JFK,IAD,0,7,0
840,DH,EWR,IAD,0,7,0
840,DH,JFK,IAD,0,1,0
840,DH,EWR,IAD,0,1,0
840,DH,JFK,IAD,0,2,1
840,DH,EWR,IAD,0,2,1
840,DH,JFK,IAD,0,3,1
840,DH,EWR,IAD,0,3,0
840,DH,JFK,IAD,0,4,0
840,DH,EWR,IAD,0,4,1
840,DH,JFK,IAD,0,5,0
840,DH,EWR,IAD,0,5,0
840,DH,JFK,IAD,0,6,1
840,DH,EWR,IAD,0,6,0
845,RU,EWR,IAD,0,7,0
845,RU,EWR,IAD,0,7,0
845,RU,EWR,IAD,0,7,0
850,UA,LGA,IAD,0,4,0
850,UA,LGA,IAD,0,5,0
850,UA,LGA,IAD,0,6,0
850,UA,LGA,IAD,0,7,0
850,UA,LGA,IAD,0,1,0
850,UA,LGA,IAD,0,2,0
850,UA,LGA,IAD,0,3,0
850,UA,LGA,IAD,0,4,0
850,UA,LGA,IAD,0,5,1
850,UA,LGA,IAD,0,6,0
850,UA,LGA,IAD,0,7,0
850,UA,LGA,IAD,0,1,0
850,UA,LGA,IAD,0,2,0
850,UA,LGA,IAD,0,3,0
850,UA,LGA,IAD,0,4,1
850,UA,LGA,IAD,0,5,1
850,UA,LGA,IAD,0,6,0
850,UA,LGA,IAD,0,7,0
850,UA,LGA,IAD,0,1,0
850,UA,LGA,IAD,0,2,0
850,UA,LGA,IAD,0,3,0
850,UA,LGA,IAD,0,4,0
850,UA,LGA,IAD,0,5,0
850,UA,LGA,IAD,0,6,0
850,UA,LGA,IAD,0,7,0
850,UA,LGA,IAD,1,1,1
850,UA,LGA,IAD,1,2,1
850,UA,LGA,IAD,0,3,0
850,UA,LGA,IAD,0,4,0
850,UA,LGA,IAD,0,5,0
850,UA,LGA,IAD,0,6,0
900,MQ,LGA,DCA,0,4,0
900,US,LGA,DCA,0,4,0
900,MQ,LGA,DCA,0,5,0
900,US,LGA,DCA,0,5,0
900,RU,EWR,DCA,0,5,0
900,RU,EWR,IAD,0,5,0
900,MQ,LGA,DCA,0,6,0
900,US,LGA,DCA,0,6,0
900,US,LGA,DCA,0,7,0
900,RU,EWR,IAD,0,7,0
900,MQ,LGA,DCA,0,1,0
900,US,LGA,DCA,0,1,0
900,RU,EWR,DCA,0,1,1
900,RU,EWR,IAD,0,1,0
900,MQ,LGA,DCA,0,2,0
900,US,LGA,DCA,0,2,0
900,RU,EWR,DCA,0,2,0
900,MQ,LGA,DCA,0,3,0
900,US,LGA,DCA,0,3,0
900,RU,EWR,DCA,0,3,0
900,MQ,LGA,DCA,0,4,0
900,US,LGA,DCA,0,4,0
900,RU,EWR,DCA,0,4,0
900,MQ,LGA,DCA,0,5,0
900,RU,EWR,DCA,0,5,0
900,MQ,LGA,DCA,0,6,0
900,US,LGA,DCA,0,6,0
900,US,LGA,DCA,0,7,0
900,MQ,LGA,DCA,0,1,0
900,US,LGA,DCA,0,1,0
900,RU,EWR,DCA,0,1,0
900,MQ,LGA,DCA,0,2,0
900,US,LGA,DCA,0,2,0
900,RU,EWR,DCA,0,2,0
900,MQ,LGA,DCA,0,3,0
900,US,LGA,DCA,0,3,0
900,RU,EWR,DCA,0,3,0
900,US,LGA,DCA,0,4,1
900,RU,EWR,DCA,0,4,1
900,MQ,LGA,DCA,0,5,1
900,US,LGA,DCA,0,5,1
900,RU,EWR,DCA,0,5,0
900,MQ,LGA,DCA,0,6,0
900,US,LGA,DCA,0,6,0
900,US,LGA,DCA,0,7,0
900,MQ,LGA,DCA,0,1,0
900,US,LGA,DCA,0,1,0
900,RU,EWR,DCA,0,1,0
900,MQ,LGA,DCA,0,2,0
900,US,LGA,DCA,0,2,0
900,RU,EWR,DCA,0,2,0
900,MQ,LGA,DCA,0,3,0
900,US,LGA,DCA,0,3,0
900,RU,EWR,DCA,0,3,0
900,MQ,LGA,DCA,0,4,0
900,US,LGA,DCA,0,4,0
900,RU,EWR,DCA,0,4,0
900,MQ,LGA,DCA,0,5,0
900,US,LGA,DCA,0,5,0
900,RU,EWR,DCA,0,5,0
900,MQ,LGA,DCA,0,6,1
900,US,LGA,DCA,0,6,0
900,US,LGA,DCA,0,7,0
900,MQ,LGA,DCA,1,1,1
900,US,LGA,DCA,1,1,1
900,RU,EWR,DCA,0,1,0
900,US,LGA,DCA,0,2,0
900,US,LGA,DCA,0,3,1
900,RU,EWR,DCA,0,3,1
900,MQ,LGA,DCA,0,4,0
900,US,LGA,DCA,0,4,0
900,RU,EWR,DCA,0,4,0
900,MQ,LGA,DCA,0,5,0
900,US,LGA,DCA,0,5,0
900,RU,EWR,DCA,0,5,0
900,MQ,LGA,DCA,0,6,0
900,US,LGA,DCA,0,6,0
925,MQ,JFK,DCA,0,7,0
925,MQ,JFK,DCA,0,7,0
925,MQ,JFK,DCA,0,7,0
930,DL,LGA,DCA,0,4,0
930,DL,LGA,DCA,0,5,0
930,RU,EWR,DCA,0,6,0
930,RU,EWR,DCA,0,7,0
930,DL,LGA,DCA,0,1,0
930,DL,LGA,DCA,0,2,0
930,DL,LGA,DCA,0,3,0
930,DL,LGA,DCA,0,4,0
930,DL,LGA,DCA,0,5,0
930,RU,EWR,DCA,0,6,0
930,RU,EWR,DCA,0,7,0
930,DL,LGA,DCA,0,1,1
930,DL,LGA,DCA,0,2,0
930,DL,LGA,DCA,0,3,0
930,DL,LGA,DCA,0,4,0
930,DL,LGA,DCA,0,5,0
930,RU,EWR,DCA,0,6,0
930,RU,EWR,DCA,0,7,0
930,DL,LGA,DCA,0,2,0
930,DL,LGA,DCA,0,3,0
930,DL,LGA,DCA,0,4,0
930,DL,LGA,DCA,0,5,0
930,RU,EWR,DCA,0,6,0
930,RU,EWR,DCA,0,7,0
930,DL,LGA,DCA,0,1,0
930,DL,LGA,DCA,0,3,0
930,DL,LGA,DCA,0,5,0
930,RU,EWR,DCA,0,6,0
1000,US,LGA,DCA,0,7,0
1000,US,LGA,DCA,0,1,0
1000,US,LGA,DCA,0,2,0
1000,US,LGA,DCA,0,3,0
1000,US,LGA,DCA,0,4,0
1000,US,LGA,DCA,0,5,0
1000,US,LGA,DCA,0,7,0
1000,US,LGA,DCA,0,1,0
1000,US,LGA,DCA,0,2,0
1000,US,LGA,DCA,0,3,0
1000,US,LGA,DCA,0,5,0
1000,US,LGA,DCA,0,7,0
1000,US,LGA,DCA,0,1,0
1000,US,LGA,DCA,0,2,0
1000,US,LGA,DCA,0,3,0
1000,US,LGA,DCA,0,4,0
1000,US,LGA,DCA,0,5,0
1000,US,LGA,DCA,0,7,0
1000,US,LGA,DCA,0,1,0
1000,US,LGA,DCA,0,2,0
1000,US,LGA,DCA,0,3,0
1000,US,LGA,DCA,0,4,0
1000,US,LGA,DCA,0,5,0
1030,RU,EWR,BWI,0,4,0
1030,RU,EWR,BWI,0,5,0
1030,DL,LGA,DCA,0,6,0
1030,RU,EWR,BWI,0,6,0
1030,DL,LGA,DCA,0,7,0
1030,RU,EWR,BWI,0,7,1
1030,DL,LGA,DCA,0,1,0
1030,RU,EWR,BWI,0,1,1
1030,DL,LGA,DCA,0,2,0
1030,RU,EWR,BWI,0,2,0
1030,DL,LGA,DCA,0,3,0
